"NOMBRE","CODIGO","STOCK","PRECIO","MIN","PROVEEDOR","MARCA"
"9 de Oro agridulce x200g","8975560313752","187","950.00","0","",""
"9 de oro azucarada x200g","1069025437135","51","950.00","0","",""
"9 de Oro clasicas x200g","9027311456223","279","950.00","0","",""
"9 de Oro Cookies blancos x120g","2690742773744","0","700.00","0","",""
"9 de Oro Cookies chips x120g","5716047034468","0","700.00","0","",""
"9 de Oro Cookies colores x120g","3818470589465","0","700.00","0","",""
"9 de oro salvado x200g","7256424534556","0","650.00","0","",""
"Above Repelente x150ml","4419568357822","38","4570.00","0","",""
"Aceite Alsamar x900","1032025003665","0","1100.00","0","",""
"Aceite Cañuelas x1,5l","1506547995872","0","2550.00","0","",""
"Aceite Legitimo x900","5798563767833","0","1590.00","0","",""
"Actron 400mg tableta x10u","4139863714008","17","2370.00","0","",""
"Actron 600mg tableta x10u","3709469858858","16","6800.00","0","",""
"Actron Plus 400 tableta x8u","2894251549490","0","3280.00","0","",""
"Afeitadora Geeleete 3 filos x24u","5661646311373","13","10780.00","0","",""
"Afeitadoras Bic 3","1117973651721","14","1000.00","0","",""
"Alfajor Aguila Minitorta Brownie x72g","5214503272409","0","1280.00","0","",""
"Alfajor arroz Lulemuu x12u","9573129759444","11","7150.00","0","",""
"Alfajor Barrigon Blanco x10u","9625592859512","1","13100.00","0","",""
"Alfajor Barrigon Negro x10u","4341694994592","0","13100.00","0","",""
"Alfajor Bon o Bon simple x40g","1135988679529","21","630.00","0","",""
"Alfajor Capitan Espacio SIMPLE","9781351844097","116","1200.00","0","",""
"Alfajor Capitan Espacio TRIPLE","8753675431272","0","1890.00","0","",""
"Alfajor Escolar x60u surtido","5424431491871","0","9500.00","0","",""
"Alfajor Fantoche cuadruple x12","8404793149871","0","13200.00","0","",""
"Alfajor Fantoche mini blan x6u","2406852507102","0","1490.00","0","",""
"Alfajor Fantoche mini negr x6u","4577630806948","43","1490.00","0","",""
"Alfajor Fantoche Mini x18u","5291250499375","0","1081.21","0","",""
"Alfajor Fantoche triple x24u","4757218091107","17","16370.00","0","",""
"Alfajor Fulbito x40u","6565191548073","0","6690.00","0","",""
"Alfajor Guaymallen Oro x24u","4597223899122","0","6846.53","0","",""
"Alfajor Guaymallen simple x40u","5335965510175","0","10800.00","0","",""
"Alfajor Guaymallen triple x24u","4041615223711","8","10800.00","0","",""
"Alfajor Gula blanco unidad","9372865451695","1","1080.00","0","",""
"Alfajor Gula negro unidad","3832187500065","0","1080.00","0","",""
"Alfajor Guliver triple x24u","4985658399711","34","7300.00","0","",""
"Alfajor Jorgelin triple","3235405106749","0","8900.48","0","",""
"Alfajor Jorgito simple","7846072295986","0","7120.39","0","",""
"Alfajor Juana la loca blanco x10u","5001701660090","1","17400.00","0","",""
"Alfajor Juana la loca chocolate con merengue x10u","8769512078375","0","17400.00","0","",""
"Alfajor Juana La Loca chocolate x10u","6909825155155","0","16800.00","0","",""
"Alfajor Juana La Loca Clasico Blanco x80g x24u","9983097481739","0","28500.00","0","",""
"Alfajor Juana La Loca Clasico Negro x80g x24u","8163244098327","1","28500.00","0","",""
"Alfajor La Recova 60gx24u","1629253578355","0","13820.00","0","",""
"Alfajor Maradona x 24 u","9608672591129","0","14500.00","0","",""
"Alfajor Marley x20u","1342317469758","0","20600.00","0","",""
"Alfajor Milka 3 Dulce de Leche x70g","3773848352080","0","1040.00","0","",""
"Alfajor Milka 3 Mousse blanco x55g","2659726790375","46","1160.00","0","",""
"Alfajor Milka 3 Mousse x55g","4479450541388","0","1200.00","0","",""
"Alfajor Milka 3 torta Oreo x61g","2015248152253","0","1160.00","0","",""
"Alfajor Mogy simple x40u","8886925452481","0","9900.00","0","",""
"Alfajor OREO triple x56g","3048676381746","32","1160.00","0","",""
"Alfajor Pepitos x57g","5469876219262","0","1040.00","0","",""
"Alfajor Rasta x18u","2808628939528","0","18500.00","0","",""
"Alfajor Riquito simple x50u","1261159412819","0","6800.00","0","",""
"Alfajor Salchichon Juana La Loca Chocolate x92g x18u","6152715472362","2","30600.00","0","",""
"Alfajor Shot Pasta de Mani simple x44g","4760567190141","78","715.00","0","",""
"Alfajor Sin Culpa x8u","9175064764753","0","8800.00","0","",""
"Alfajor Terrabusi Choco clasico x50g","5687166835099","0","870.00","0","",""
"Alfajor Terrabusi Glaseado x38g","5957587908645","0","870.00","0","",""
"Alfajor Terrabusi Triple clasico x70g","2168736811833","2","1160.00","0","",""
"Alfajor Terrabusi triple torta 70g","4542118904661","0","1200.00","0","",""
"Alfajor triple Fantasio","3225571102304","0","7000.00","0","",""
"Alfajor Trishot x60g","9887560822148","46","1160.00","0","",""
"Alikal sobre","4310407245290","114","720.00","0","",""
"Alka bolsa chico x200g (100u)","1902812955047","0","1830.00","0","",""
"Alka caramelo bolsa x800g","5117146991490","3","8400.00","0","",""
"Almohadita limon x1kg LR","2521083128904","11","6900.00","0","",""
"Almohaditas  Frutilla x1kg LR","7535157052119","13","6350.00","0","",""
"Almohaditas chocolate x1kg LR","1474573906497","0","6820.00","0","",""
"Amoxicilina tableta x500mg x8u","9913901125692","0","1640.00","0","",""
"Anillos DDLN x150g","7813621816656","0","204.20","0","",""
"Anillos DDLN x300g","2129582459270","0","436.33","0","",""
"Anillos de cebolla Juli Croc x70g","2381051372861","86","875.00","0","",""
"Animacion Solitas x400g","5381896899472","0","852.01","0","",""
"Arañas paleta c/ juguete x10u","3562046584820","0","2632.12","0","",""
"Arcor Cereal Mix x20u","5483709901216","0","7450.00","0","",""
"Arcor menta con chocolate car","3201445816220","0","5800.00","0","",""
"Aritos frutales x1kg Los Rusit","2152214180622","22","4800.00","0","",""
"Aros de cebolla Los Rusitos","1533893996567","0","2430.00","0","",""
"Arroz Dominante x1kg","3354014248061","0","1570.00","0","",""
"Arroz Dominante x500g","1326013587157","0","840.00","0","",""
"Arroz Don Marcos x1kg","4361258304272","0","1680.00","0","",""
"Arroz Don Marcos x500g","9739612364288","0","895.00","0","",""
"Aspirinetas TABLETA x14 compr.","5725059108029","6","700.00","0","",""
"Auriculares Inalambricos","1476118200524","0","9500.00","0","",""
"Azucar Dolce x1kg","4997757329067","0","740.00","0","",""
"Azuquita c/ billete x50u Mandu","3482116872746","0","1300.00","0","",""
"Baby doll blister x18x4u","4490842836593","11","10400.00","0","",""
"Baggio Fresh Limone x1500ml","5201741999967","1","5900.00","0","",""
"Baggio Fresh manzana 6x1500ml","6751851817934","0","5165.00","0","",""
"Baggio Fresh manzana 6x600ml","8718402426469","0","3300.00","0","",""
"Baggio Fresh Naranja 6x1500cc","5227431063540","23","5900.00","0","",""
"Baggio Fresh naranja 6x600ml","3506362685907","0","2280.00","0","",""
"Baggio Fresh Pomelo 6x1500cc","3001884001183","127","5900.00","0","",""
"Baggio Fresh pomelo 6x600ml","6853330869926","7","2280.00","0","",""
"Baggio Pronto Durazno x1 litro","9140998905532","0","1190.00","0","",""
"Baggio Pronto Multifruta 18x200cc","8666549833401","146","8100.00","0","",""
"Baggio Pronto Multifruta x1 LITRO","7230036718382","210","1340.00","0","",""
"Baggio Pronto naranja 18x200cc","5125677990440","0","6230.00","0","",""
"Baggio Pronto Naranja x1 litro","3777629381565","0","1175.00","0","",""
"Baggio VIDA Multifrut 6x1500cc","6697937681611","0","5420.00","0","",""
"BanaChoc DDLN x200g","9501340348172","0","247.84","0","",""
"Bananas Fini x500g","7972801027997","0","5250.00","0","",""
"Bananina Felfort 30x15g","2826394894694","0","17370.00","0","",""
"Bananina Split FelFort 30x20g","4652588436301","0","17890.00","0","",""
"Bananita Dolca 16x14g","8729111403987","9","10880.00","0","",""
"Bananita Dolca 16x30g grande","6425246699243","0","18800.00","0","",""
"Barbie Labial x30u","6071426015580","0","10900.00","0","",""
"Barbie Ring Anillos x30u","7100114978743","10","12800.00","0","",""
"Bariloche Bombonett x50u","3227151386638","0","2146.73","0","",""
"Barra cereal Riquito","5552350200767","0","6100.00","0","",""
"Barra de arroz Lulemuu x20u","7276031185586","0","7300.00","0","",""
"Barra de mani crocante lheriti","4829448818782","26","448.97","0","",""
"Barra Smack rell mousse x12u","2790496253484","0","3800.00","0","",""
"Barrita FelFort mani leche 20g","8904806203459","0","2844.84","0","",""
"Basquet Bronco x1u","8811500733768","0","1007.92","0","",""
"Baston navideño bolsa x48u","7654818846086","0","394.01","0","",""
"Batatas Fritas x90g","3643315652814","84","1070.00","0","",""
"Batatas Tryms x60g","2006660916558","0","1000.00","0","",""
"Bay Biscuit x142g","6741871847993","0","188.76","0","",""
"Bayaspirina tableta x10u","8987467416622","4","1660.00","0","",""
"Bebeto Caja de sorpresas de ceramica con golosinas x20u","7254651069736","0","19300.00","0","",""
"Beldent Frutilla x20u","1272852311411","0","10150.00","0","",""
"Beldent Menta Fuerte x20u","8189764853830","0","10150.00","0","",""
"Beldent Menta x20u","6310833114264","9","10150.00","0","",""
"Beldent Mentol x20u","3758446057511","7","10150.00","0","",""
"Beldent Tutti x20u","8682614011503","0","10150.00","0","",""
"Bengalas Candela x4u.","4190797355656","0","1970.00","0","",""
"Benjamin Anillos coco x160g","2965810013527","72","480.00","0","",""
"Benjamin Chips x300g","3590867037489","56","1350.00","0","",""
"Benjamin Nankin vainilla x160g","8558715199209","69","480.00","0","",""
"Benjamin Yabila limon x160g","6415589403638","71","490.00","0","",""
"Bibs con leche 18x40g","3162207982843","0","15120.00","0","",""
"Bichos paleta c/juguete x10u","8799050892343","4","4000.00","0","",""
"Billiken bombonera corazon fru","6492305705885","0","2770.00","0","",""
"Billiken confitado","1025556383336","0","6085.80","0","",""
"Billiken goma citricas x800g","4913749608832","0","4560.00","0","",""
"Billiken goma Mentol x800g","2244778606082","0","4560.00","0","",""
"Billiken goma Tutti x800g","3257249368559","0","4560.00","0","",""
"Billiken goma yogur 12x30g","5887986515866","0","4650.00","0","",""
"Billiken goma Yogur x800g","4527195551140","0","4975.00","0","",""
"Billiken gomas frutal x800g","3875574200135","0","4560.00","0","",""
"Billiken gotita de amor 12x35g","5274700808971","0","1186.80","0","",""
"Billiken mast plegado x300g","1062964842052","0","1100.00","0","",""
"Billiken Party Mix x339g","5000184734646","19","4700.00","0","",""
"Billiken pastilla Punch x60u","7545884052096","0","3300.00","0","",""
"Billiken pote Cream frutilla","3625237325240","5","5700.00","0","",""
"Billiken Ritz x70g","5549622962193","0","317.65","0","",""
"Billiken Yum Yum","5295994322140","0","1675.49","0","",""
"Bit pico dulce caramelo","1377001123563","0","439.82","0","",""
"Biyu x12u","1392407262599","0","13000.00","0","",""
"Bizcochos Alem","9676907848250","0","450.00","0","",""
"Bizcochos La Reina x170g","2190944662452","0","253.07","0","",""
"Blister Cofler Graffiti 12x45g","8106146824838","9","16600.00","0","",""
"Block Miti Miti x170g","6078410945915","0","733.02","0","",""
"Bluper Chicle botellita 6x6u","8844096181577","0","8500.00","0","",""
"Bluper Chicle Cajita Loca x6u","7735444068406","0","1412.77","0","",""
"Bluper chicle huevo 200u","6956058705994","0","9825.60","0","",""
"Bluper chicle Maxi Frutas x30u","9185265299599","0","1588.21","0","",""
"Bluper Pastillero Destapador x6u","9736151018944","13","17700.00","0","",""
"Bluper Smartphone 4x4u","5992875909600","0","7750.00","0","",""
"Bocadito ddl x52u Lheritier","4200828869812","0","3500.00","0","",""
"Bocadito dulce de leche Lherit","4525199019499","0","897.97","0","",""
"Bocadito FelFort De a 2 cereal 20ux12g","1610924807775","7","18000.00","0","",""
"Bocadito Obli Bon x36u","8862246108814","0","6235.00","0","",""
"Bola loca tarro x 24u","6897522110652","0","3550.00","0","",""
"Bolillas Tinka Campeones x15u","9452384436883","50","3230.00","0","",""
"Bolillas Tinka x100u","1049382324384","5","1690.00","0","",""
"Bolita licor Palmesano pote","8267678670773","0","13570.00","0","",""
"Bolita Media Hora","8876645689848","2","11800.00","0","",""
"Bolitas Chocolate x1kg Los Rus","4988053697240","29","4800.00","0","",""
"Bolitas licor Palmesano x400g","9697480878040","0","6760.00","0","",""
"Bolitas ácidas Marengo x810g","5057464667997","4","2600.00","0","",""
"Bomba de agua comun x50u","3873669618989","0","155.77","0","",""
"Bombitas de agua Candela  x100","1055006559159","153","990.00","0","",""
"Bombon Bel x50u","5073494868375","0","5939.00","0","",""
"Bombon Classic Billiken x60u","7937994653003","4","6200.00","0","",""
"Bombon Corazon Peluche Yosyelan x5u","8852628390415","0","7000.00","0","",""
"Bombon Dancing x50u","6063801500231","3","6550.00","0","",""
"Bombon frutal Billiken x350g","9345291155711","0","3200.00","0","",""
"Bombon Hamlet","1260611418486","0","6270.00","0","",""
"Bombon Nestle display x250g","8970421409612","0","861.31","0","",""
"Bombon Nestle especialidades","2602141446415","0","5510.00","0","",""
"Bombon Obli Bon x30u","9155631602192","4","5780.00","0","",""
"Bombon Peluche Yosyelan cajita x12u","5111531529512","0","12000.00","0","",""
"Bombon Plenario licor x350g","1095664135470","0","1134.44","0","",""
"Bombon Plenario licor x700g","9754675259898","0","2600.48","0","",""
"Bombon Seleccion Arcor x229g","6062105176775","0","7930.00","0","",""
"Bombon Surtido Garoto x250g","2617064388622","0","7470.00","0","",""
"Bombon Tokke ddl x30u","7986126932834","0","8400.00","0","",""
"Bombon Vauquita x30u","4360249118926","4","7030.00","0","",""
"Bombucha x100u","3237141248438","0","1159.20","0","",""
"Bonafide Chocman Black","9780684566222","0","8310.00","0","",""
"Bonafide Chocman Clasico x18u","8957695351245","0","8310.00","0","",""
"Bonafide Taza 60% cacao  x100g","8077081128551","0","1740.00","0","",""
"BonoBon COCO 18x15g","6063624902263","0","4500.00","0","",""
"Botella tomate triturado","3625160148063","0","219.91","0","",""
"Botellita chupetin chispas Illumin x24u","2467026027432","3","11800.00","0","",""
"Botellon Uvita tinto 6x1125","1818795683479","12","15800.00","0","",""
"Bubbaloo Frutilla x60u","6316305973324","0","5500.00","0","",""
"Bubbaloo Menta x60u","2605151032292","11","5500.00","0","",""
"Bubbaloo Tutti x60u","4765906812117","14","5500.00","0","",""
"Bubbaloo Uva x60u","6715204179874","4","5500.00","0","",""
"Bubble Roll x8u","6131475309330","0","14550.00","0","",""
"Bucoangin x9u","1319147496769","3","1950.00","0","",""
"Budin Bonafide x200g","7119976746423","0","750.00","0","",""
"Budin Dos en uno x150g","2035855950922","0","496.80","0","",""
"Budin Fantasia Nevares chocolate x180g","7505201692502","5","1350.00","0","",""
"Budin Fantasia Nevares limon x180g","9582690528873","0","1350.00","0","",""
"Budin Fantasio chocolate con chips negros x200g","3101006509865","194","1500.00","0","",""
"Budin Fantasio fruta x200g","6251022963654","193","1500.00","0","",""
"Budin Fantasio marmolado x200g","9958880993409","181","1500.00","0","",""
"Budin Fantasio vainilla con chips x200g","1832620689776","188","1500.00","0","",""
"Budin Fantoche chips x220g","5128309942630","6","1700.00","0","",""
"Budin Fantoche frutas x200g","1180407398273","10","1700.00","0","",""
"Budin Fantoche Marmolado x200g","4457682271279","1","1700.00","0","",""
"Budin Fantoche sin frutas x220g","1941504709922","8","1700.00","0","",""
"Budin Ivette","6718533966338","0","119.11","0","",""
"Budin Lanin chips x170g","5813350712137","0","1050.00","0","",""
"Budin Lanin marmolado x170g","9842909930607","0","1050.00","0","",""
"Budin Lanin vainilla x170g","6976596841571","0","1050.00","0","",""
"Buffys 6x20g trenza corazon","9515402175166","0","311.53","0","",""
"Buffys Gol Pelota choc 6x26g","5514912938976","0","3910.00","0","",""
"Buffys Jungle choc x24u","7865882533444","9","4720.00","0","",""
"Buffys Simpson 12x30g","5508081305416","0","2920.00","0","",""
"Buffys Stick 32x12g","8907686923132","11","5590.00","0","",""
"Buffys Stick Display","7358864329493","0","1980.91","0","",""
"Buffys x200g","5258826416758","0","1790.00","0","",""
"Bulldog cable chico","9134478979575","0","2260.44","0","",""
"Bulldog cintas acidas x60g","5605415681693","34","570.00","0","",""
"Bulldog Crazy  x10u","3534032388906","8","5450.00","0","",""
"Bulldog goma Regaliz cable pote x360g","7736165545313","27","5600.00","0","",""
"Bulldog goma rollito acido x12","4945930501401","0","3750.00","0","",""
"Bulldog Huesitos 12x30g","5440572664561","11","4400.00","0","",""
"Bulldog MiniRegaliz x500g","8357133679509","2","4330.00","0","",""
"Bulldog Pastilla x12u.","6148936711526","0","4150.00","0","",""
"Bulldog regaliz 12x18g","7448829206806","0","3100.00","0","",""
"Bulldog Regaliz bolsa x75g PICANTE","7778800994026","55","830.00","0","",""
"Bulldog regaliz cable x600 gde","4526173742217","0","4595.40","0","",""
"Bulldog Regaliz cable x75g","1697914552739","229","870.00","0","",""
"Bulldog Regaliz ROLL x24u","3655806418593","20","13200.00","0","",""
"Buscapina Duo tableta x10u","7325798456930","21","6300.00","0","",""
"Buzzycroc chicle relleno","6249001779570","10","2070.00","0","",""
"Cadburys Intense 12x25g","4365779042329","0","4260.70","0","",""
"Cadburys Yogur frutilla x162g","3236152659366","0","4330.00","0","",""
"Cafe Sensaciones saq int. x18u","3646552675657","0","3360.00","0","",""
"Caja navideña","9782540162365","0","4886.83","0","",""
"Cajita de chicles Gaseosas x30u","4719034022167","23","20000.00","0","",""
"Cajita de chicles Gaseosas x30u","1862216162574","14","20000.00","0","",""
"Caloventor 2000w","2313523938325","9","29000.00","0","",""
"Candy Port chupetin anillo Tutti x500g","7150452780180","5","14600.00","0","",""
"Candy Port chupetin masticable yogur x30u","9263106428979","0","16480.00","0","",""
"Candy Port chupetin Pizza x30u","7777543392153","0","16400.00","0","",""
"Candy Port Crema Bumper x12x12g","1628964244656","16","19900.00","0","",""
"Candy Port Crema Choki 12x12g","1291512128024","17","19900.00","0","",""
"Candy Port Crema Halfie x12u","9107830049208","12","19900.00","0","",""
"Candy Port Emoji Pop x30u","3244723408213","9","14800.00","0","",""
"Candy Port Goma Frutitas x30u","7877758134794","9","12200.00","0","",""
"Candy Port Papas Fritas x30u","4933575566286","5","16400.00","0","",""
"Candy Port patita chispas x24u","9469501088254","0","12520.00","0","",""
"Candy Port Pincho de frutilla x30u","6644614773649","0","14800.00","0","",""
"Candy Port polvo acido botella x30u","5898143020331","10","12300.00","0","",""
"Candy Toys botella x30u","9971538651778","0","13400.00","0","",""
"Candy Toys cajita x30u","8817762281307","0","11550.00","0","",""
"Candy Toys Hombre araña x30u","8186501446289","0","12200.00","0","",""
"Candy Toys latita x30u","7072092458843","0","14080.00","0","",""
"Candy Toys Oso saltarin x30u","7045853065565","4","13084.48","0","",""
"Candy Toys x30u","1461092013595","0","10180.00","0","",""
"Canuto c/billete Paysandu x50u","2684238034058","0","1150.00","0","",""
"Canuto vaso emoticon x40u","7923081459545","7","3300.00","0","",""
"Canuto vaso Hombre araña x40u","3786240087070","17","3300.00","0","",""
"Canuto vaso princesa x40u","6406075941922","11","3300.00","0","",""
"Capibara Colgante","9575982889312","10","7500.00","0","",""
"Caramelo Acido Pinta Boca Dra Loka x30u","5952926697034","0","14400.00","0","",""
"Caramelo bolita Marengo x454g","2377147035735","10","2910.00","0","",""
"Caramelo Brazilian Coffee cafe bolsa x500g","8944496987580","0","5000.00","0","",""
"Caramelo cafe marengo x100g.","5870337261588","0","91.63","0","",""
"Caramelo duro Pico Dulce x90u","4160543240709","6","5120.00","0","",""
"Caramelo Florestal lata redonda sin azucar x40g","5534109042502","0","2800.00","0","",""
"Caramelo Florestal lata x40g bala corazon","5716986295271","0","3600.00","0","",""
"Caramelo Malvavisco Brocheta x30u","4252772929732","0","11500.00","0","",""
"Cascarones Los Rusitos","8271772283344","0","4650.00","0","",""
"Cascarones Los Rusitos x1kg","5428857008601","6","8900.00","0","",""
"Cascarones x1kg. Oritas","4945121399698","15","9800.00","0","",""
"Catch Pop x8u.","8749823610959","0","9273.60","0","",""
"Catz Pop x6u","6819816781094","0","11870.00","0","",""
"Celosas x350g.","8056241469234","0","331.62","0","",""
"Cereal azucarado x1kg Los Rusi","8085548982957","0","3400.00","0","",""
"Cereal Fort 24x19g","3168713615794","0","14960.00","0","",""
"Chalitas Pancetas Oritas","4695563681392","0","6000.00","0","",""
"Chicken Chat","9078642986303","0","1231.66","0","",""
"Chicle Alka plegado fruta","7002716802078","0","3000.00","0","",""
"Chicle Bazooka x80u","4974902794142","14","5850.00","0","",""
"Chicle bolas Zed Candy x975g","1274988953003","1","15870.00","0","",""
"Chicle Gallina Coquita x8u","1715769735740","1","18500.00","0","",""
"Chicle globo Sapito","1959924696427","0","1215.00","0","",""
"Chicle Pico Dulce Acido Power x80u","8217984674416","4","4120.00","0","",""
"Chicle Pico Dulce Tutti x80u","2630700540784","2","4120.00","0","",""
"Chicle Redondito granel","8766742737378","0","1081.21","0","",""
"Chicle Rollo Candy Loka 3 gustos","1766566459701","2","14500.00","0","",""
"Chicles Flics","4312125302214","0","1439.86","0","",""
"Chips de mandioca, batata y papas Juli Croc x90g","8717701597501","76","1090.00","0","",""
"Chips Riquito x340g","7144266971883","0","990.00","0","",""
"Chisitos extra queso x65g","6516751607919","83","686.00","0","",""
"Chisitos queso Juli Croc x80g","6948076260767","0","450.00","0","",""
"Chisitos x1kg Los Rusitos","8450851833975","230","4100.00","0","",""
"Choc. Nestle mani 15ux33g","7094165264098","0","8210.00","0","",""
"Choc. Nestle mani x90g","7549845315861","0","1460.00","0","",""
"Choco Pamela x220g","1049018144002","0","770.00","0","",""
"Chocofan Mini torta x15u","7122548816074","0","4572.23","0","",""
"Chocolatada Latte 18x200cc","5715698573793","153","10600.00","0","",""
"Chocolate Arcor Milk 20x12g","1844427018304","0","5490.00","0","",""
"Chocolate Cadbury Tres Sueños 12x25g","4993168752870","2","14500.00","0","",""
"Chocolate con leche Hersheys x82g","6776429025089","0","1800.00","0","",""
"Chocolate Hamlet x45g","2383152786492","248","600.00","0","",""
"Chocolate Kinder x50gx 4u","8002700508665","4","2500.00","0","",""
